,id,country,affiliation,draft,title,submission_date,wg,docid
0,117988,,"Meta Platforms, Inc.",draft-ietf-add-svcb-dns-09,Service Binding Mapping for DNS Servers,2023-11-01,add,RFC9461
1,119325,United States of America,Apple,draft-ietf-add-ddr-10,Discovery of Designated Resolvers,2023-11-01,add,RFC9462
2,124846,United States of America,Apple,draft-ietf-add-ddr-10,Discovery of Designated Resolvers,2023-11-01,add,RFC9462
3,121595,United States of America,Cloudflare,draft-ietf-add-ddr-10,Discovery of Designated Resolvers,2023-11-01,add,RFC9462
4,116593,,Fastly,draft-ietf-add-ddr-10,Discovery of Designated Resolvers,2023-11-01,add,RFC9462
5,126651,,Microsoft,draft-ietf-add-ddr-10,Discovery of Designated Resolvers,2023-11-01,add,RFC9462
6,112869,France,Orange,draft-ietf-add-dnr-16,DHCP and Router Advertisement Options for the Discovery of Network-designated Resolvers (DNR),2023-11-01,add,RFC9463
7,112901,India,Nokia Corporation,draft-ietf-add-dnr-16,DHCP and Router Advertisement Options for the Discovery of Network-designated Resolvers (DNR),2023-11-01,add,RFC9463
8,100038,USA,"Citrix Systems, Inc.",draft-ietf-add-dnr-16,DHCP and Router Advertisement Options for the Discovery of Network-designated Resolvers (DNR),2023-11-01,add,RFC9463
9,107591,UK,Open-Xchange,draft-ietf-add-dnr-16,DHCP and Router Advertisement Options for the Discovery of Network-designated Resolvers (DNR),2023-11-01,add,RFC9463
10,126651,USA,Microsoft,draft-ietf-add-dnr-16,DHCP and Router Advertisement Options for the Discovery of Network-designated Resolvers (DNR),2023-11-01,add,RFC9463
11,112901,India,Nokia Corporation,draft-ietf-add-resolver-info-13,DNS Resolver Information,2024-06-01,add,RFC9606
12,112869,France,Orange,draft-ietf-add-resolver-info-13,DNS Resolver Information,2024-06-01,add,RFC9606
13,117988,,"Meta Platforms, Inc.",draft-ietf-add-svcb-dns-09,Service Binding Mapping for DNS Servers,2023-11-01,add,RFC9461
14,119325,United States of America,Apple,draft-ietf-add-ddr-10,Discovery of Designated Resolvers,2023-11-01,add,RFC9462
15,124846,United States of America,Apple,draft-ietf-add-ddr-10,Discovery of Designated Resolvers,2023-11-01,add,RFC9462
16,121595,United States of America,Cloudflare,draft-ietf-add-ddr-10,Discovery of Designated Resolvers,2023-11-01,add,RFC9462
17,116593,,Fastly,draft-ietf-add-ddr-10,Discovery of Designated Resolvers,2023-11-01,add,RFC9462
18,126651,,Microsoft,draft-ietf-add-ddr-10,Discovery of Designated Resolvers,2023-11-01,add,RFC9462
19,112869,France,Orange,draft-ietf-add-dnr-16,DHCP and Router Advertisement Options for the Discovery of Network-designated Resolvers (DNR),2023-11-01,add,RFC9463
20,112901,India,Nokia Corporation,draft-ietf-add-dnr-16,DHCP and Router Advertisement Options for the Discovery of Network-designated Resolvers (DNR),2023-11-01,add,RFC9463
21,100038,USA,"Citrix Systems, Inc.",draft-ietf-add-dnr-16,DHCP and Router Advertisement Options for the Discovery of Network-designated Resolvers (DNR),2023-11-01,add,RFC9463
22,107591,UK,Open-Xchange,draft-ietf-add-dnr-16,DHCP and Router Advertisement Options for the Discovery of Network-designated Resolvers (DNR),2023-11-01,add,RFC9463
23,126651,USA,Microsoft,draft-ietf-add-dnr-16,DHCP and Router Advertisement Options for the Discovery of Network-designated Resolvers (DNR),2023-11-01,add,RFC9463
24,112901,India,Nokia Corporation,draft-ietf-add-resolver-info-13,DNS Resolver Information,2024-06-01,add,RFC9606
25,112869,France,Orange,draft-ietf-add-resolver-info-13,DNS Resolver Information,2024-06-01,add,RFC9606
