,id,country,affiliation,draft,title,submission_date,wg,docid
0,124899,Portugal,LIP,draft-ietf-privacypass-architecture-16,The Privacy Pass Architecture,2024-06-01,privacypass,RFC9576
1,121595,United States of America,Cloudflare,draft-ietf-privacypass-architecture-16,The Privacy Pass Architecture,2024-06-01,privacypass,RFC9576
2,105721,,Fastly,draft-ietf-privacypass-architecture-16,The Privacy Pass Architecture,2024-06-01,privacypass,RFC9576
3,119325,United States of America,Apple,draft-ietf-privacypass-auth-scheme-15,The Privacy Pass HTTP Authentication Scheme,2024-06-01,privacypass,RFC9577
4,124109,,Google,draft-ietf-privacypass-auth-scheme-15,The Privacy Pass HTTP Authentication Scheme,2024-06-01,privacypass,RFC9577
5,121595,,Cloudflare,draft-ietf-privacypass-auth-scheme-15,The Privacy Pass HTTP Authentication Scheme,2024-06-01,privacypass,RFC9577
6,126300,Portugal,Brave Software,draft-ietf-privacypass-protocol-16,Privacy Pass Issuance Protocols,2024-06-01,privacypass,RFC9578
7,124899,Portugal,Brave Software,draft-ietf-privacypass-protocol-16,Privacy Pass Issuance Protocols,2024-06-01,privacypass,RFC9578
8,124109,,Google,draft-ietf-privacypass-protocol-16,Privacy Pass Issuance Protocols,2024-06-01,privacypass,RFC9578
9,121595,United States of America,Cloudflare,draft-ietf-privacypass-protocol-16,Privacy Pass Issuance Protocols,2024-06-01,privacypass,RFC9578
10,124899,Portugal,LIP,draft-ietf-privacypass-architecture-16,The Privacy Pass Architecture,2024-06-01,privacypass,RFC9576
11,121595,United States of America,Cloudflare,draft-ietf-privacypass-architecture-16,The Privacy Pass Architecture,2024-06-01,privacypass,RFC9576
12,105721,,Fastly,draft-ietf-privacypass-architecture-16,The Privacy Pass Architecture,2024-06-01,privacypass,RFC9576
13,119325,United States of America,Apple,draft-ietf-privacypass-auth-scheme-15,The Privacy Pass HTTP Authentication Scheme,2024-06-01,privacypass,RFC9577
14,124109,,Google,draft-ietf-privacypass-auth-scheme-15,The Privacy Pass HTTP Authentication Scheme,2024-06-01,privacypass,RFC9577
15,121595,,Cloudflare,draft-ietf-privacypass-auth-scheme-15,The Privacy Pass HTTP Authentication Scheme,2024-06-01,privacypass,RFC9577
16,126300,Portugal,Brave Software,draft-ietf-privacypass-protocol-16,Privacy Pass Issuance Protocols,2024-06-01,privacypass,RFC9578
17,124899,Portugal,Brave Software,draft-ietf-privacypass-protocol-16,Privacy Pass Issuance Protocols,2024-06-01,privacypass,RFC9578
18,124109,,Google,draft-ietf-privacypass-protocol-16,Privacy Pass Issuance Protocols,2024-06-01,privacypass,RFC9578
19,121595,United States of America,Cloudflare,draft-ietf-privacypass-protocol-16,Privacy Pass Issuance Protocols,2024-06-01,privacypass,RFC9578
